"Profession","Title","Company","Location"
"director","Directeur(-trice) de service et de mise en marché","Simons","Gatineau, QC+ 1 lieu"
"director","Assistant Directeur Général","Boston Pizza International, Inc.","Saint-Charles-Borromée, QC+ 5 lieux"
"director","Directeur(","Royal Bank of Canada","Laval, QC"
"director","Directeur, Services-conseils","CGI","Montréal, QC+ 1 lieu"
"director","directeur/directrice de services d'hébergement","Hotel De Paris","Montréal, QC"
"director","CANULC_Directeur divisionnaire des ventes","Staples Canada","Oakville, ON+ 8 lieux"
"director","Directeur de compte 100% commission","SIMR-QTI","Ville de Québec, QC"
"director","Directeur responsable du recouvrement et de la facturation","PwC","Télétravail hybride à Montréal, QC"
"director","Directeur Adjoint","Metro Inc.","Repentigny, QC+ 20 lieux"
"director","Directeur des ressources humaines","FBL","Drummondville, QC+ 1 lieu"
"director","directeur/directrice de la commercialisation","SpaceBridge Inc.","Saint-Laurent, QC"
"director","BÉTONEL - Directeur en magasin","PPG Industries","Saint-Jérôme, QC+ 1 lieu"
"director","directeur/directrice d'organisme de bienfaisance","Options GRH INC.","Victoriaville, QC"
"director","Directeur·trice TI / IT Director","Square Enix Montréal","Télétravail hybride à Montréal, QC"
"director","Directeur(trice) de la restauration","Croisières AML","Ville de Québec, QC"
"director","Directeur de magasin","SAIL","Brossard, QC"
"director","Directeur des opérations - Anjou, QC","Oldcastle APG","Montréal, QC"
"director","Directeur(trice) , salles de montre","Wolseley","Laval, QC"
"director","Directeur, Service de traduction","Bank of Canada","Télétravail hybride à Ottawa, ON"
"director","Directeur","Autorité régionale de transport métropolitain...","Montréal, QC"
"director","Directeur(rice) Assurance Qualité","Viterra Inc.","Bécancour, QC"
"director","Directeur(trice)-adjoint(e) de magasin","Metro Inc.","Ville de Québec, QC"
"director","Directeur de l'intégration SuccessFactors – N'importe où au Canada","IBM","Ottawa, ON+ 1 lieu"
"director","Directeur des Transports / Transportation Manager","GoBolt","Montréal, QC"
"director","Directeur des ventes et développement des affaires, postprod","Groupe TVA","Montréal, QC"
"director","Directeur systèmes & intégration - Chine","Evident","Ville de Québec, QC"
"director","Directeur Des Technologies D’Evénements","Encore Global","Ville de Québec, QC"
"director","Directeur, Acquisition de talents universitaires","PwC","Télétravail hybride à Montréal, QC"
"director","Directrice ou directeur des technologies et pratiques émergentes","Ministère de la Cybersécurité et du Numérique","Télétravail hybride à Chaudière-Appalaches, QC"
"director","Directeur(trice) Données maîtres – Projet ERP","Olymel","Saint-Hyacinthe, QC"
"director","Directeur adjoint – Réseaux, sécurité et infrastructures","Vertisoft","Boucherville, QC"
"director","Directeur, Maintenance","Chartwell Retirement Residences","Montréal, QC+ 2 lieux"
"director","DIRECTEUR DE PRODUCTION","Préfab Gosselin Ltée","Télétravail hybride à Ville de Québec, QC"
"director","Directeur.trice des services adaptés - Patro Roc-Amadour","Regroupement des organismes communautaires de la...","Télétravail hybride à Ville de Québec, QC"
"director","DIRECTEUR DISTRIBUTION EST DU CANADA ET DES ÉTAT...","Beaulieu Canada","Acton Vale, QC"
"director","Directeur expert technique","Cascades","Saint-Bruno-de-Montarville, QC"
"director","Directeur(trice) adjoint(e)","Boralex","Kingsey Falls, QC+ 1 lieu"
"director","Directeur.rice, gestion de projets corporatifs","Croix Bleue du Québec","Télétravail hybride à Montréal, QC"
"director","Directeur, directrice de succursale","Royal Bank of Canada","Varennes, QC"
